chinese_name,name,current_price,min_price,max_price,price_gap
胡桃夹子,Nut Cracker,0.5,0.5,0.5,0.0
冷冻纯袋装冰,Frozen Pure Bagged Ice,5.4,5.4,5.4,0.0
超高温灭菌奶大豆,UHT Milk Soy,1.15,1.15,1.15,0.0
超高温灭菌豆奶,UHT Milk Soy Light,1.15,1.15,1.15,0.0
普通喝大豆,Drink Soy Regular,1.35,1.15,1.35,0.2
伍尔沃斯豆奶,Woolworths Soy Milk,2.0,1.15,2.0,0.85
预先包装好的拉丝土豆,Brushed Potatoes Prepacked,6.5,6.5,6.5,0.0
双倍强度白醋,Double Strength White Vinegar,2.5,2.5,2.5,0.0
Woolworths 双倍强度白醋,Woolworths Double Strength White Vinegar,2.7,2.5,2.7,0.2
我是完美的预包装洋葱,I'm Perfect Onions Prepacked,3.9,2.9,3.9,1.0
白普通面粉,White Plain Flour,2.7,2.7,2.7,0.0
白自发面粉,White Self Raising Flour,2.7,2.7,2.7,0.0
白自发面粉,White Self Raising Flour,1.4,1.4,1.4,0.0
白普通面粉,White Plain Flour,1.4,1.4,1.4,0.0
白砂糖,White Sugar,2.85,2.85,2.85,0.0
必需品白糖,Essentials White Sugar,4.25,4.25,4.25,0.0
CSR白糖,Csr White Sugar,4.0,2.85,4.0,1.15
必需品普通面粉,Essentials Plain Flour,1.4,1.4,1.4,0.0
必需品自发面粉,Essentials Self Raising Flour,1.4,1.4,1.4,0.0
超高温灭菌有机豆奶,UHT Soy Organic Milk,1.49,1.49,1.49,0.0
白砂糖,White Sugar,3.0,3.0,3.0,0.0
Woolworths 番茄酱意大利面,Woolworths Spaghetti In Tomato Sauce,0.9,0.65,0.9,0.25
必需品棕醋,Essentials Brown Vinegar,1.5,1.5,1.5,0.0
Woolworths 全脂牛奶,Woolworths Full Cream Milk,4.35,4.35,4.5,0.0
Woolworths 淡牛奶,Woolworths Lite Milk,4.35,4.35,4.5,0.0
Farmdale 全脂超高温灭菌牛奶,Farmdale Full Cream Milk UHT,3.29,3.09,3.29,0.2
Farmdale 脱脂牛奶超高温灭菌,Farmdale Skim Milk UHT,3.09,3.09,3.09,0.0
番茄酱意大利面,Spaghetti In Tomato Sauce,0.65,0.65,0.65,0.0
Woolworths 全脂牛奶,Woolworths Full Cream Milk,3.0,3.0,3.1,0.0
Woolworths 淡牛奶,Woolworths Lite Milk,3.0,3.0,3.1,0.0
Farmdale 全脂超高温灭菌牛奶,Farmdale Full Cream Milk UHT,1.69,1.59,1.69,0.1
Farmdale 淡奶超高温灭菌,Farmdale Light Milk UHT,1.69,1.59,1.69,0.1
Farmdale 脱脂牛奶超高温灭菌,Farmdale Skim Milk UHT,1.69,1.59,1.69,0.1
Farmdale 无乳糖超高温灭菌牛奶,Farmdale Lactose Free UHT Milk,1.59,1.59,1.59,0.0
