chinese_name,name,unit_price,price,min_p,max_p,gap,url
胡桃夹子,Nut Cracker,0.5,0.5,0.5,0.5,0.0,https://www.coles.com.au/product/coles-nut-cracker-1-each-4728386
冷冻纯袋装冰,Frozen Pure Bagged Ice,1.08,5.4,5.4,5.4,0.0,https://www.coles.com.au/product/bells-frozen-pure-bagged-ice-5kg-6893339
超高温灭菌奶大豆,UHT Milk Soy,1.15,1.15,1.15,1.15,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/uht-milk-soy-1l/
超高温灭菌豆奶,UHT Milk Soy Light,1.15,1.15,1.15,1.15,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/uht-milk-soy-light-1l/
普通喝大豆,Drink Soy Regular,1.35,1.35,1.15,1.35,0.2,https://www.coles.com.au/product/coles-drink-soy-regular-1l-4499631
伍尔沃斯豆奶,Woolworths Soy Milk,2.0,2.0,1.15,2.0,0.85,https://www.woolworths.com.au/shop/productdetails/779130
预先包装好的拉丝土豆,Brushed Potatoes Prepacked,1.3,6.5,6.5,6.5,0.0,https://www.coles.com.au/product/coles-brushed-potatoes-prepacked-5kg-4217241
双倍强度白醋,Double Strength White Vinegar,1.25,2.5,2.5,2.5,0.0,https://www.coles.com.au/product/coles-double-strength-white-vinegar-2l-3497801
Woolworths 双倍强度白醋,Woolworths Double Strength White Vinegar,1.35,2.7,2.5,2.7,0.2,https://www.woolworths.com.au/shop/productdetails/73716
我是完美的预包装洋葱,I'm Perfect Onions Prepacked,2.6,3.9,2.9,3.9,1.0,https://www.coles.com.au/product/coles-i'm-perfect-onions-prepacked-1.5kg-3609257
白普通面粉,White Plain Flour,1.35,2.7,2.7,2.7,0.0,https://www.coles.com.au/product/coles-white-plain-flour-2kg-5880841
白自发面粉,White Self Raising Flour,1.35,2.7,2.7,2.7,0.0,https://www.coles.com.au/product/coles-white-self-raising-flour-2kg-5881265
白自发面粉,White Self Raising Flour,1.4,1.4,1.4,1.4,0.0,https://www.coles.com.au/product/coles-white-self-raising-flour-1kg-5881141
白普通面粉,White Plain Flour,1.4,1.4,1.4,1.4,0.0,https://www.coles.com.au/product/coles-white-plain-flour-1kg-5881232
白砂糖,White Sugar,1.43,2.85,2.85,2.85,0.0,https://www.coles.com.au/product/coles-white-sugar-2kg-5422541
必需品白糖,Essentials White Sugar,1.42,4.25,4.25,4.25,0.0,https://www.woolworths.com.au/shop/productdetails/91869
CSR白糖,Csr White Sugar,2.0,4.0,2.85,4.0,1.15,https://www.woolworths.com.au/shop/productdetails/33157
必需品普通面粉,Essentials Plain Flour,1.4,1.4,1.4,1.4,0.0,https://www.woolworths.com.au/shop/productdetails/33282
必需品自发面粉,Essentials Self Raising Flour,1.4,1.4,1.4,1.4,0.0,https://www.woolworths.com.au/shop/productdetails/33296
超高温灭菌有机豆奶,UHT Soy Organic Milk,1.49,1.49,1.49,1.49,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/uht-soy-organic-milk-1l/
白砂糖,White Sugar,1.5,3.0,3.0,3.0,0.0,https://www.coles.com.au/product/csr-white-sugar-2kg-384740
Woolworths 番茄酱意大利面,Woolworths Spaghetti In Tomato Sauce,2.14,0.9,0.65,0.9,0.25,https://www.woolworths.com.au/shop/productdetails/47681
必需品棕醋,Essentials Brown Vinegar,1.5,1.5,1.5,1.5,0.0,https://www.woolworths.com.au/shop/productdetails/30322
Woolworths 全脂牛奶,Woolworths Full Cream Milk,1.45,4.35,4.35,4.5,0.0,https://www.woolworths.com.au/shop/productdetails/888140
Woolworths 淡牛奶,Woolworths Lite Milk,1.45,4.35,4.35,4.5,0.0,https://www.woolworths.com.au/shop/productdetails/888141
Farmdale 全脂超高温灭菌牛奶,Farmdale Full Cream Milk UHT,1.65,3.29,3.09,3.29,0.2,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-full-cream-milk-uht-2l/
Farmdale 脱脂牛奶超高温灭菌,Farmdale Skim Milk UHT,1.54,3.09,3.09,3.09,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-skim-milk-uht-2l/
番茄酱意大利面,Spaghetti In Tomato Sauce,1.55,0.65,0.65,0.65,0.0,https://www.coles.com.au/product/coles-spaghetti-in-tomato-sauce-420g-7523018
Woolworths 全脂牛奶,Woolworths Full Cream Milk,1.5,3.0,3.0,3.1,0.0,https://www.woolworths.com.au/shop/productdetails/888137
Woolworths 淡牛奶,Woolworths Lite Milk,1.5,3.0,3.0,3.1,0.0,https://www.woolworths.com.au/shop/productdetails/888139
Farmdale 全脂超高温灭菌牛奶,Farmdale Full Cream Milk UHT,1.69,1.69,1.59,1.69,0.1,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-full-cream-milk-uht-1l/
Farmdale 淡奶超高温灭菌,Farmdale Light Milk UHT,1.69,1.69,1.59,1.69,0.1,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-light-milk-uht-1l/
Farmdale 脱脂牛奶超高温灭菌,Farmdale Skim Milk UHT,1.69,1.69,1.59,1.69,0.1,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-skim-milk-uht-1l/
Farmdale 无乳糖超高温灭菌牛奶,Farmdale Lactose Free UHT Milk,1.59,1.59,1.59,1.59,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-lactose-free-uht-milk-1l/
Farmdale 无乳糖低脂超高温灭菌牛奶,Farmdale Lactose Free Low Fat UHT Milk,1.59,1.59,1.59,1.59,0.0,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-lactose-free-low-fat-uht-milk-1l/
我是完美的预包装胡萝卜,I'M Perfect Carrots Prepacked,1.73,2.6,1.9,2.6,0.7,https://www.coles.com.au/product/coles-i'm-perfect-carrots-prepacked-1.5kg-3609392
棕色洋葱,Brown Onions,1.6,8.0,8.0,8.0,0.0,https://www.coles.com.au/product/coles-brown-onions-5-kg-2992690
So Good 杏仁香草长寿牛奶,So Good Almond Vanilla Long Life Milk,3.2,3.2,1.6,3.2,1.6,https://www.coles.com.au/product/sanitarium-so-good-almond-vanilla-long-life-milk-1l-1760101
有机豆奶,Organic Soy Milk,2.0,2.0,1.6,2.0,0.4,https://www.coles.com.au/product/coles-organic-soy-milk-1l-3492954
全脂牛奶,Full Cream Milk,1.45,4.35,4.35,4.8,0.0,https://www.coles.com.au/product/coles-full-cream-milk-3l-8150288
低脂低脂牛奶,Lite Reduced Fat Milk,1.6,4.8,4.8,4.8,0.0,https://www.coles.com.au/product/coles-lite-reduced-fat-milk-3l-9107728
原糖,Raw Sugar,1.6,3.2,3.2,3.2,0.0,https://www.coles.com.au/product/coles-raw-sugar-2-kg-5426156
Woolworths 超高温全脂牛奶,Woolworths Uht Full Cream Milk,1.6,1.6,1.6,1.6,0.0,https://www.woolworths.com.au/shop/productdetails/748595
Woolworths 超脱脂牛奶,Woolworths Uht Skim Milk,1.6,1.6,1.6,1.6,0.0,https://www.woolworths.com.au/shop/productdetails/748597
Woolworths 无乳糖全脂牛奶,Woolworths Free From Lactose Full Cream Milk,1.9,1.9,1.6,1.9,0.3,https://www.woolworths.com.au/shop/productdetails/799811
Woolworths 超淡牛奶,Woolworths Uht Lite Milk,1.6,1.6,1.6,1.6,0.0,https://www.woolworths.com.au/shop/productdetails/748596
Woolworths 不含乳糖淡牛奶,Woolworths Free From Lactose Lite Milk,1.9,1.9,1.6,1.9,0.3,https://www.woolworths.com.au/shop/productdetails/799813
Macro有机大豆长寿奶,Macro Organic Soy Long Life Milk,2.0,2.0,1.6,2.0,0.4,https://www.woolworths.com.au/shop/productdetails/215455
Woolworths 全脂牛奶,Woolworths Full Cream Milk,1.55,1.55,1.55,1.6,0.0,https://www.woolworths.com.au/shop/productdetails/50923
Woolworths 淡牛奶,Woolworths Lite Milk,1.55,1.55,1.55,1.6,0.0,https://www.woolworths.com.au/shop/productdetails/382737
Woolworths 脱脂牛奶,Woolworths Skim Milk,1.55,1.55,1.55,1.6,0.0,https://www.woolworths.com.au/shop/productdetails/51379
CSR原糖,Csr Raw Sugar,2.5,5.0,3.2,5.0,1.8,https://www.woolworths.com.au/shop/productdetails/37391
必需品原糖,Essentials Raw Sugar,1.6,4.8,4.8,4.8,0.0,https://www.woolworths.com.au/shop/productdetails/4897
超高温处理燕麦奶,UHT Oat Milk,3.3,3.3,1.65,3.3,1.65,https://www.coles.com.au/product/vitasoy-uht-oat-milk-1l-7292254
全脂牛奶,Full Cream Milk,1.5,3.0,3.0,3.3,0.0,https://www.coles.com.au/product/coles-full-cream-milk-2l-439693
低脂低脂牛奶,Lite Reduced Fat Milk,1.5,3.0,3.0,3.3,0.0,https://www.coles.com.au/product/coles-lite-reduced-fat-milk-2l-8379529
宏观有机米浆,Macro Organic Rice Milk,2.0,2.0,1.65,2.0,0.35,https://www.woolworths.com.au/shop/productdetails/701667
淡奶瓶,Lite Milk Bottle,1.55,1.55,1.55,1.7,0.0,https://www.coles.com.au/product/coles-lite-milk-bottle-1l-1993256
脱脂牛奶瓶,Skim Milk Bottle,1.55,1.55,1.55,1.7,0.0,https://www.coles.com.au/product/coles-skim-milk-bottle-1l-1993267
澳洲淡味长寿牛奶,Australian Lite Long Life Milk,1.6,1.6,1.6,1.7,0.0,https://www.coles.com.au/product/coles-australian-lite-long-life-milk-1l-7239433
澳大利亚脱脂长寿牛奶,Australian Skim Long Life Milk,1.6,1.6,1.6,1.7,0.0,https://www.coles.com.au/product/coles-australian-skim-long-life-milk-1l-7667244
澳洲全脂长寿牛奶,Australian Full Cream Long Life Milk,1.6,1.6,1.6,1.7,0.0,https://www.coles.com.au/product/coles-australian-full-cream-long-life-milk-1l-7667368
全脂牛奶,Dairy Full Cream Milk,1.55,1.55,1.55,1.7,0.0,https://www.coles.com.au/product/coles-dairy-full-cream-milk-1l-9052681
白砂糖,White Sugar,1.7,1.7,1.7,1.7,0.0,https://www.coles.com.au/product/coles-white-sugar-1kg-5422530
速食燕麦,Quick Oats,1.72,3.1,3.1,3.1,0.0,https://www.coles.com.au/product/coles-quick-oats-1.8kg-4972412
燕麦片超值装,Rolled Oats Value Pack,1.72,3.1,3.1,3.1,0.0,https://www.coles.com.au/product/coles-rolled-oats-value-pack-1.8-kg-4972693
Woolworths 白米长粒,Woolworths White Rice Long Grain,1.7,8.5,8.5,9.0,0.0,https://www.woolworths.com.au/shop/productdetails/72779
Woolworths 澳大利亚燕麦片,Woolworths Australian Rolled Oats,1.87,2.8,2.6,3.5,0.2,https://www.woolworths.com.au/shop/productdetails/196293
Woolworths 澳大利亚速食燕麦,Woolworths Australian Quick Oats,1.87,2.8,2.6,3.5,0.2,https://www.woolworths.com.au/shop/productdetails/196294
CSR白糖,Csr White Sugar,2.0,2.0,2.0,2.6,0.0,https://www.woolworths.com.au/shop/productdetails/33156
原糖,Raw Sugar,1.8,1.8,1.8,1.8,0.0,https://www.coles.com.au/product/coles-raw-sugar-1kg-294182
燕麦片,Rolled Oats,1.83,1.65,1.65,1.65,0.0,https://www.coles.com.au/product/coles-rolled-oats-900g-5290305
速食燕麦,Quick Oats,1.83,1.65,1.65,1.65,0.0,https://www.coles.com.au/product/coles-quick-oats-900g-5290338
棕醋,Brown Vinegar,1.8,1.8,1.8,1.8,0.0,https://www.coles.com.au/product/anchor-brown-vinegar-1l-3312644
通心粉,Pasta Penne,1.8,0.9,0.9,0.9,0.0,https://www.coles.com.au/product/coles-pasta-penne-500g-3329104
意大利面 意大利面条,Pasta Spaghetti,1.8,0.9,0.9,0.9,0.0,https://www.coles.com.au/product/coles-pasta-spaghetti-500g-3329115
意大利面螺旋,Pasta Spirals,1.8,0.9,0.9,0.9,0.0,https://www.coles.com.au/product/coles-pasta-spirals-500g-3329126
长粒米,Long Grain Rice,1.4,1.4,1.4,1.8,0.0,https://www.coles.com.au/product/coles-long-grain-rice-1kg-5357574
长粒白米,Long Grain White Rice,1.4,2.8,2.8,3.6,0.0,https://www.coles.com.au/product/coles-long-grain-white-rice-2kg-4698955
简单的香草冰淇淋,Simply Vanilla Ice Cream,1.75,7.0,7.0,7.0,0.0,https://www.coles.com.au/product/coles-simply-vanilla-ice-cream-4l-208205
简单的那不勒斯冰甜点,Simply Neapolitan Ice Dessert,1.75,7.0,7.0,7.0,0.0,https://www.coles.com.au/product/coles-simply-neapolitan-ice-dessert-4l-208216
Woolworths 白米长粒,Woolworths White Rice Long Grain,1.8,1.8,1.8,1.8,0.0,https://www.woolworths.com.au/shop/productdetails/35007
必需品通心粉,Essentials Pasta Penne,1.8,0.9,0.9,0.9,0.0,https://www.woolworths.com.au/shop/productdetails/188800
必需品 意大利面 意大利面条,Essentials Pasta Spaghetti,1.8,0.9,0.9,0.9,0.0,https://www.woolworths.com.au/shop/productdetails/44571
必需品螺旋面食,Essentials Pasta Spirals,1.8,0.9,0.9,0.9,0.0,https://www.woolworths.com.au/shop/productdetails/188799
CSR原糖,Csr Raw Sugar,2.5,2.5,2.5,3.2,0.0,https://www.woolworths.com.au/shop/productdetails/36630
必需品原糖,Essentials Raw Sugar,1.8,1.8,1.8,2.0,0.0,https://www.woolworths.com.au/shop/productdetails/18169
澳大利亚自己的无糖杏仁奶,Australia's Own Unsweetened Almond Milk,3.1,3.1,1.85,3.1,1.25,https://www.woolworths.com.au/shop/productdetails/924245
